v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
12.8,10.4,0.0,21.4,28.2,-25200000.0,0.0,0.0,0.0,0.0,0.0
4.9,9.6,30.0,20.0,20.5,14313.462861107457,1986.4305347641975,1551.2469625815488,1551.2457047701982,4612.267341217402,4612.272317774112
15.4,15.0,9.6,20.6,13.3,-7359481.205217227,0.0,0.0,0.0,0.0,0.0
24.2,14.2,27.9,6.7,8.9,9108.206147975936,5087.742042097581,1056.5631955562178,1056.5634753057172,953.6679348296788,953.6695001867403
9.1,18.8,0.0,16.9,17.8,-10599999.999999998,0.0,0.0,0.0,0.0,0.0
3.0,25.0,30.0,3.0,23.2,23459.0322865107,7185.179567804202,4345.099631232984,4345.094274940081,3791.8239886049955,3791.8348239284387
3.8,3.0,12.6,8.6,21.1,16704.55095930544,5370.038049679235,4737.955181308141,4737.952895167611,929.3024394487292,929.3023937017251
4.0,15.7,25.5,9.2,17.8,10721.741517045997,2531.5136822580675,1472.916807940076,1472.9110693600853,2622.1990918778033,2622.2008656099642
25.0,13.4,26.6,22.0,14.1,13625.213100799776,3189.090966704812,358.20457608430047,358.2056574201666,4859.8616798472685,4859.850220743228
14.7,23.3,0.0,14.6,23.1,-12799999.999999996,0.0,0.0,0.0,0.0,0.0
3.0,25.0,28.9,7.2,24.8,20532.52076030495,5942.02722083026,2551.9062027131336,2551.906174812401,4743.337798800656,4743.3433631484995
9.4,15.7,12.1,14.9,30.0,12594.677540755587,1622.5440766056797,2128.899343526201,2128.904329223776,3357.166024832711,3357.1637665672197
9.5,20.5,24.8,5.0,4.4,-8612704.817952348,0.0,0.0,0.0,0.0,0.0
3.0,22.0,30.0,3.0,25.4,23759.470080876574,6806.828591811644,4632.63275237329,4632.633463858193,3843.6853565162555,3843.68991631719
7.4,4.7,22.8,17.0,5.8,11579.245329879705,2186.9909701266315,2168.203066800538,2168.203756522681,2527.925779373574,2527.9217570562796
20.2,3.2,28.7,16.9,3.4,-13723713.807614291,0.0,0.0,0.0,0.0,0.0
25.0,15.9,15.6,14.6,1.5,-7000000.0,0.0,0.0,0.0,0.0,0.0
25.0,24.5,18.4,22.9,25.2,-6028600.642741614,0.0,0.0,0.0,0.0,0.0
17.0,20.7,7.7,9.2,23.1,-2914333.492661164,0.0,0.0,0.0,0.0,0.0
19.4,19.0,8.7,20.4,16.6,-6535435.557330225,0.0,0.0,0.0,0.0,0.0
25.0,11.0,30.0,18.0,6.6,-758378.4467108891,0.0,0.0,0.0,0.0,0.0
19.2,21.2,0.0,25.0,30.0,-26000000.0,0.0,0.0,0.0,0.0,0.0
25.0,14.6,12.2,15.6,6.8,-9016375.825803217,0.0,0.0,0.0,0.0,0.0
25.0,16.6,10.2,16.4,0.0,-12799999.999999996,0.0,0.0,0.0,0.0,0.0
11.9,19.0,8.5,17.6,30.0,18952.838043585325,1081.596975197673,4543.40256879931,4543.4057750378615,4392.22413165035,4392.208592900133
25.0,3.2,25.0,14.0,0.6,-8800000.0,0.0,0.0,0.0,0.0,0.0
